URL;PublicationDate;ReferenceNumber;ReferenceURL;Initiative;Name;Keywords;Topics
http://docs.opengeospatial.org/per/16-034.html;2017;16-034;http://www.opengis.net/doc/PER/t12-A071;Testbed-12;Testbed-12 LiDAR Streaming Engineering Report;LiDAR,SOS,Cloud,SWE,Services,Sensor Web,SensorML,Data Modeling,GML,Events,;Services.SOS, DataModels.LiDAR
http://docs.opengeospatial.org/per/16-035.html;2017;16-035;http://www.opengis.net/doc/PER/t12-A005-1;Testbed-12;Testbed-12 REST Architecture Engineering Report;REST,Architecture,Services,NAS,WMS,WFS,Coverage,JSON,WMTS,Mapping,;Architecture.REST, Services.WMS, Services.WPS
http://docs.opengeospatial.org/per/16-036r1.html;2017;16-036r1;http://www.opengis.net/doc/PER/t12-A076;Testbed-12;Testbed-12 Big Data Database Engineering Report;Big Data,Services,Events,Sensor Web,SWE,Architecture,Data Modeling,XML,Domains,Compliance,;Architecture.BigData
http://docs.opengeospatial.org/per/16-037.html;2017;16-037;http://www.opengis.net/doc/PER/t12-B004;Testbed-12;Testbed-12 GeoPackage US Topo Engineering Report;Services,Mapping,WMTS,Portrayal,Events,WMS,JSON,Conversion,XML,Profiling,;DataStorage.GeoPackage, Clients.Portrayal
http://docs.opengeospatial.org/per/16-038.html;2017;16-038;http://www.opengis.net/doc/PER/t12-A081;Testbed-12;Testbed-12 NSG GeoPackage Profile Assessment Engineering Report;Profiling,Vector Tiles,Events,Services,Coverage,XML,;DataModels.Vector Tiling, DataStorage.Geopackage
http://docs.opengeospatial.org/per/16-039r2.html;2017;16-039r2;http://www.opengis.net/doc/PER/t12-F002;Testbed-12;Testbed-12 Aviation Semantics Engineering Report;Semantic,Aviation,Services,RDF,Ontology,Taxonomy,Profiling,Aeronautical,Domains,Events,;DataModels.Modeling, Domains.Aviation
http://docs.opengeospatial.org/per/16-040r1.html;2017;16-040r1;http://www.opengis.net/doc/PER/tb12-F001;Testbed-12;Testbed-12 Aviation Security Engineering Report;Security,Aviation,Services,Architecture,Messaging,Domains,Profiling,SOAP,XML,Aeronautical,;Architecture.Security, Domains.Aviation
http://docs.opengeospatial.org/per/16-041r1.html;2017;16-041r1;http://www.opengis.net/doc/PER/t12-A080;Testbed-12;Testbed-12 WPS ISO Data Quality Service Profile Engineering Report;Data quality,GML,Services,Quality of Service,XML,Domains,Workflows,Atom,Profiling,Architecture,;DataModels.Modeling
http://docs.opengeospatial.org/per/16-042r1.html;2017;16-042r1;http://www.opengis.net/doc/PER/t12-NA005;Testbed-12;Testbed-12 WMS/WMTS Enhanced Engineering Report;WMS,WMTS,Domains,GML,Services,Mapping,Semantic,REST,WFS,Events,;Services.WMS, Services.WMTS
http://docs.opengeospatial.org/per/16-043.html;2017;16-043;http://www.opengis.net/doc/PER/t12-A078;Testbed-12;Testbed-12 Web Integration Service;Services,WMS,WIS,Mapping,XML,WMTS,WFS,WCS,CSW,Coverage,;Services.Other
http://docs.opengeospatial.org/per/16-044.html;2017;16-044;http://www.opengis.net/doc/PER/t12-A011-3;Testbed-12;Testbed-12 Web Feature Service Synchronization;Synchronization,WFS,Services,XML,REST,GML,Events,JSON,Architecture,GeoJSON,;Architecture.AsynchronousCommunication, Clients.Communication, Services.WFS
http://docs.opengeospatial.org/per/16-045r2.html;2017;16-045r2;http://www.opengis.net/doc/PER/t12-E002;Testbed-12;Testbed-12 Data Broker Engineering Report;Broker,WFS,Services,WMS,AIXM,Portrayal,CSW,XML,GML,Architecture,;Domains.Aviation, DataModels.Modeling
http://docs.opengeospatial.org/per/16-046r1.html;2017;16-046r1;http://www.opengis.net/doc/PER/t12-A006;Testbed-12;Testbed-12 Semantic Enablement Engineering Report;Semantic,Services,Ontology,Registries,Mapping,RDF,Aviation,REST,Portrayal,JSON-LD,;Semantic.Registries, DataModels.Modeling
http://docs.opengeospatial.org/per/16-047r1.html;2017;16-047r1;http://www.opengis.net/doc/PER/t12-A075;Testbed-12;Testbed-12 General Feature Model Engineering Report;WOS,Services,XML,WFS,Events,Semantic,CSW,Platforms,Architecture,Linked Data,;DataModels.Modeling
http://docs.opengeospatial.org/per/16-048r1.html;2017;16-048r1;http://www.opengis.net/doc/PER/t12-A065;Testbed-12;Testbed-12 OWS Common Security Extension ER;Security,Services,SOAP,WFS,Profiling,WMS,XML,WMTS,Messaging,WCS,;Architecture.Security
http://docs.opengeospatial.org/per/16-049r1.html;2017;16-049r1;http://www.opengis.net/doc/PER/t12-A077;Testbed-12;Testbed-12 Multi-Tile Retrieval ER;WMTS,Services,Big Data,Messaging,Events,XML,Mapping,Security,WMS,IP,;DataModels.Vector Tiling
http://docs.opengeospatial.org/per/16-050.html;2017;16-050;http://www.opengis.net/doc/PER/t12-DG003;Testbed-12;Testbed-12 Imagery Quality and Accuracy Engineering Report;Domains,XML,Data quality,WMTS,Coverage,Mapping,Cloud,Semantic,Services,GML,;DataModels.Modeling
http://docs.opengeospatial.org/per/16-051.html;2017;16-051;http://www.opengis.net/doc/PER/t12-A005-2;Testbed-12;Testbed-12 Javascript-JSON-JSON-LD Engineering Report;JSON,JSON-LD,Services,Coverage,WMS,RDF,Conversion,XML,GeoJSON,Architecture,;Semantic.LinkedData
http://docs.opengeospatial.org/per/16-052.html;2017;16-052;http://www.opengis.net/doc/PER/t12-A073;Testbed-12;Testbed-12 OWS Context / Capabilities Engineering Report;OWS Context,Services,WMS,Mapping,Atom,OpenSearch,XML,Events,NEO,GML,;DataModels.Modeling, DataModels.Context
http://docs.opengeospatial.org/per/16-053r1.html;2017;16-053r1;http://www.opengis.net/doc/PER/t12-A086;Testbed-12;Testbed-12 OWS Context: JSON, JSON-LD and HTML5 ER;OWS Context,JSON-LD,Mapping,JSON,GeoJSON,Semantic,Events,RDF,XML,Atom,;DataModels.Modeling, Semantic.LinkedData
http://docs.opengeospatial.org/per/16-055.html;2017;16-055;http://www.opengis.net/doc/PER/t12-A069;Testbed-12;Testbed-12 Compression Techniques Engineering Report;XML,WFS,Services,Events,GML,Governance,GeoJSON,Profiling,Architecture,Platforms,;Clients.Communication
http://docs.opengeospatial.org/per/16-056.html;2017;16-056;http://www.opengis.net/doc/PER/t12-A005-3;Testbed-12;Testbed-12 TopoJSON, GML Engineering Report;TopoJSON,GML,WFS,Services,GeoJSON,Events,JSON,XML,Mapping,Architecture,;DataModels.Modeling
http://docs.opengeospatial.org/per/16-059.html;2017;16-059;http://www.opengis.net/doc/PER/t12-A066;Testbed-12;Testbed-12 Semantic Portrayal, Registry and Mediation Engineering Report;Semantic,Registries,Portrayal,Services,JSON,Mapping,RDF,DCAT,Ontology,REST,;Semantic.Registries, DataModels.Modeling, Semantic.LinkedData
http://docs.opengeospatial.org/per/16-061.html;2017;16-061;http://www.opengis.net/doc/PER/t12-E004;Testbed-12;Testbed-12 Aviation SBVR Engineering Report;AIXM,Aviation,Services,Events,Governance,Semantic,Domains,FIXM,GML,XML,;Domains.Aviation
http://docs.opengeospatial.org/per/16-062.html;2017;16-062;http://www.opengis.net/doc/PER/t12-A072;Testbed-12;Testbed-12 Catalogue and SPARQL Engineering Report;DCAT,Services,CSW,RDF,Profiling,XML,OpenSearch,Semantic,Registries,Mapping,;Semantic.LinkedData, Semantic.Registries
http://docs.opengeospatial.org/per/16-063.html;2017;16-063;http://www.opengis.net/doc/PER/t12-B003;Testbed-12;Testbed-12 Arctic Spatial Data Infrastructure Engineering Report;Arctic,WMS,WFS,Services,WCS,Mapping,Profiling,Governance,Architecture,Domains,;Domains.Arctic
http://docs.opengeospatial.org/per/16-067r4.html;2017;16-067r4;http://www.opengis.net/doc/PER/t12-A068;Testbed-12;Testbed-12 Vector Tiling Implementation Engineering Report;Vector Tiles,GeoJSON,Events,Services,Mapping,WMTS,JSON,;DataModels.Vector Tiling
http://docs.opengeospatial.org/per/16-068r4.html;2017;16-068r4;http://www.opengis.net/doc/PER/t12-A008;Testbed-12;Testbed-12 Vector Tiling Engineering Report;Vector Tiles,Mapping,Services,WMTS,CDB,I3S,Profiling,3D Tiles,Events,WFS,;DataModels.3DTiles, DataModels.I3S, DataModels.VectorTiling, DataModels.CDB
http://docs.opengeospatial.org/per/16-092r2.html;2016;16-092r2;http://www.opengis.net/doc/PER/imis_iot_ext;Incident Management Information Sharing (IMIS) Internet of Things (IOT) Pilot;Incident Management Information Sharing (IMIS) Internet of Things (IoT) Extension Engineering Report;Services,Cloud,Messaging,Mapping,Architecture,WFS,Events,SOS,WMS,Security,;Domains.InternetOfThings
http://docs.opengeospatial.org/per/16-093r1.html;2016;16-093r1;http://www.opengis.net/doc/PER/iot-protocol-mapping;Incident Management Information Sharing (IMIS) Internet of Things (IOT) Pilot;Incident Management Information Sharing Internet of Things Protocol Mapping Engineering Report;Mapping,Events,Services,Architecture,Conversion,Security,Messaging,SOS,Data Modeling,JSON,;Domains.InternetOfThings
http://docs.opengeospatial.org/per/16-097.html;2017;16-097;http://www.opengis.net/doc/PER/FCP1-UPrules;Future City Pilot, Phase 1;Future City Pilot-1: Using IFC/CityGML in Urban Planning Engineering Report;Architecture,CityGML,Services,Events,Governance,Mapping,Workflows,KML,WFS,Platforms,;Domains.SmartCities
http://docs.opengeospatial.org/per/16-098.html;2017;16-098;http://www.opengis.net/doc/PER/FCP1-ER;Future City Pilot, Phase 1;Future City Pilot 1 Engineering Report;CityGML,Services,ADE,Semantic,XML,Data Modeling,Domains,Sensor Web,GML,Atom,;Domains.SmartCities
http://docs.opengeospatial.org/per/16-099.html;2017;16-099;http://www.opengis.net/doc/PER/FCP1-autoUP;Future City Pilot, Phase 1;Future City Pilot 1 - Automating Urban Planning Using Web Processing Service Engineering Report;Services,CityGML,Events,Governance,WFS,XML,Architecture,Platforms,KML,Mapping,;Domains.SmartCities
http://docs.opengeospatial.org/per/16-115.html;2017;16-115;http://www.opengis.net/doc/PER/FCP1-IFCviaWFS;Future City Pilot, Phase 1;Future City Pilot 1 - Recommendations on Serving IFC via WFS;WFS,CityGML,JSON,Events,GML,XML,Data Modeling,GeoJSON,;Domains.SmartCities
http://docs.opengeospatial.org/per/16-137r2.html;2017;16-137r2;http://www.opengis.net/doc/PER/t12-A074;Testbed-12;Testbed-12 PubSub / Catalog Engineering Report;PubSub,Catalog,Services,CSW,Events,Messaging,REST,Broker,SOAP,XML,;Services.CSW, Architecture.AsynchronousCommunication
http://docs.opengeospatial.org/per/17-018.html;2018;17-018;http://www.opengis.net/doc/PER/t13-FA002;Testbed-13;OGC Testbed-13: Data Quality Specification Engineering Report;Data quality,Services,Domains,AIXM,Aviation,Aeronautical,FIXM,WXXM,Data Modeling,Events,;Domains.Aviation
http://docs.opengeospatial.org/per/17-019.html;2018;17-019;http://www.opengis.net/doc/PER/t13-NR002;Testbed-13;OGC Testbed-13: MapML ER;MapML,Mapping,Services,WMS,WMTS,OWS Context,WFS,Events,KML,Semantic,;DataModels.MapML
http://docs.opengeospatial.org/per/17-020r1.html;2018;17-020r1;http://www.opengis.net/doc/PER/t13-NG003;Testbed-13;OGC Testbed-13: NAS Profiling Engineering Report;Profiling,NAS,CityGML,CDB,ADE,Mapping,GML,XML,Workflows,OCL,;DataModels.Modeling
http://docs.opengeospatial.org/per/17-021.html;2018;17-021;http://www.opengis.net/doc/PER/t13-AB002;Testbed-13;OGC Testbed-13: Security ER;Security,Services,Workflows,WMS,WFS,Profiling,XML,JSON,Compliance,Domains,;Architecture.Security
