URL;PublicationDate;ReferenceNumber;ReferenceURL;Initiative;Name;Keywords;Topics
https://portal.opengeospatial.org/files/?artifact_id=40133&version=2;2010;10-079r3;na;OGC Web Services, Phase 7 (OWS-7);OWS-7 Aviation Architecture Engineering Report;messaging;Domains.Aviation, Architecture.Events
https://portal.opengeospatial.org/files/?artifact_id=39509&version=3;2010;10-060r1;na;OGC Web Services, Phase 7 (OWS-7);OWS-7 Event Architecture Engineering Report;messaging, pubsub;Domains.Aviation, DataModels.Aviation, Architecture.Events
https://portal.opengeospatial.org/files/?artifact_id=40502&version=1;2010;10-131r1;na;OGC Web Services, Phase 7 (OWS-7);OWS-7 Aviation – AIXM Assessment Report;;Domains.Aviation, DataModels.AIXM
https://portal.opengeospatial.org/files/?artifact_id=40149&version=2;2010;10-132;na;OGC Web Services, Phase 7 (OWS-7);OWS-7 Aviation – WXXM Assessment Engineering Report;portrayal;Domains.Aviation, DataModels.WXXM
https://portal.opengeospatial.org/files/?artifact_id=40134&version=2;2010;10-127r1;na;OGC Web Services, Phase 7 (OWS-7);OWS-7 Engineering Report - Aviation Portrayal;;Domains.Aviation, Clients.Portrayal
https://portal.opengeospatial.org/files/?artifact_id=40114&version=2;2010;10-130;na;OGC Web Services, Phase 7 (OWS-7);OWS-7 Aviation – FUSE Deployment Engineering Report;security;Domains.Aviation, Architecture.Events
https://portal.opengeospatial.org/files/?artifact_id=40144&version=3;2010;10-155;na;OGC Web Services, Phase 7 (OWS-7);OWS-7 Towards secure interconnection of OGC Web Services with SWIM;security;Domains.Aviation, Architecture.Security
https://portal.opengeospatial.org/files/?artifact_id=40336&version=1;2010;10-137;na;OGC Web Services, Phase 7 (OWS-7);OWS-7 UML to Schema, Conversion and Validation;;Domains.Aviation, DataModels.Modeling
https://portal.opengeospatial.org/files/?artifact_id=40840&version=2;2010;10-094;na;OGC Web Services, Phase 7 (OWS-7);Summary of the OGC Web Services, Phase 7 (OWS-7) Interoperability Testbed;;IP
https://portal.opengeospatial.org/files/?artifact_id=46242;2011;11-093r2;na;OGC Web Services, Phase 8 (OWS-8);OWS-8 Aviation Architecture Engineering Report;registry, security, events;Domains.Aviation, DataModels.Modeling
https://portal.opengeospatial.org/files/?artifact_id=46243;2011;11-092r2;na;OGC Web Services, Phase 8 (OWS-8);OWS-8 Report on Digital NOTAM Event Specification;events;Domains.Aviation, DataModels.Modeling
https://portal.opengeospatial.org/files/?artifact_id=46666;2012;11-073r2;na;OGC Web Services, Phase 8 (OWS-8);OWS-8 Aviation: Guidance for Retrieving AIXM 5.1 data via an OGC WFS 2.0;;Domains.Aviation, DataModels.AIXM
https://portal.opengeospatial.org/files/?artifact_id=45380;2012;11-061r1;na;OGC Web Services, Phase 8 (OWS-8);OWS-8 AIXM Metadata Guidelines Engineering Report;;Domains.Aviation, DataModels.AIXM
